id,UNIVERSE,SYMBOL
198,NIFTY 500,SAIL
199,NIFTY 500,SUNTV
200,NIFTY 500,SYNGENE
201,NIFTY 500,TATACHEM
202,NIFTY 500,TATACOMM
203,NIFTY 500,UBL
204,NIFTY 500,VOLTAS
205,NIFTY 500,ZEEL
206,NIFTY 500,AARTIIND
207,NIFTY 500,ABBOTINDIA
208,NIFTY 500,ATUL
209,NIFTY 500,BALRAMCHIN
210,NIFTY 500,BSOFT
211,NIFTY 500,CANFINHOME
212,NIFTY 500,CHAMBLFERT
213,NIFTY 500,CUB
214,NIFTY 500,DELTACORP
215,NIFTY 500,EXIDEIND
216,NIFTY 500,GLENMARK
217,NIFTY 500,GMRINFRA
218,NIFTY 500,GNFC
219,NIFTY 500,GRANULES
220,NIFTY 500,HINDCOPPER
221,NIFTY 500,IDFC
222,NIFTY 500,IEX
223,NIFTY 500,INDIACEM
224,NIFTY 500,INDIAMART
225,NIFTY 500,JKCEMENT
226,NIFTY 500,MANAPPURAM
227,NIFTY 500,MCX
228,NIFTY 500,METROPOLIS
229,NIFTY 500,MGL
230,NIFTY 500,NATIONALUM
231,NIFTY 500,OFSS
232,NIFTY 500,PVRINOX
233,NIFTY 500,RBLBANK
234,NIFTY 500,ADANIENSOL
235,NIFTY 500,ADANIGREEN
236,NIFTY 500,ATGL
237,NIFTY 500,AWL
238,NIFTY 500,BAJAJHLDNG
239,NIFTY 500,DMART
240,NIFTY 500,LICI
241,NIFTY 500,PGHH
242,NIFTY 500,VBL
243,NIFTY 500,ZOMATO
244,NIFTY 500,TATAMTRDVR
245,NIFTY 500,APLAPOLLO
246,NIFTY 500,BANKINDIA
247,NIFTY 500,BDL
248,NIFTY 500,CGPOWER
249,NIFTY 500,DELHIVERY
250,NIFTY 500,DEVYANI
251,NIFTY 500,FACT
252,NIFTY 500,FLUOROCHEM
253,NIFTY 500,FORTIS
254,NIFTY 500,GLAND
255,NIFTY 500,INDIANB
256,NIFTY 500,IRFC
257,NIFTY 500,JSWENERGY
258,NIFTY 500,KPITTECH
259,NIFTY 500,LODHA
260,NIFTY 500,MANKIND
261,NIFTY 500,MAXHEALTH
262,NIFTY 500,MAZDOCK
263,NIFTY 500,MSUMI
264,NIFTY 500,NHPC
265,NIFTY 500,NYKAA
266,NIFTY 500,OIL
267,NIFTY 500,PATANJALI
268,NIFTY 500,PAYTM
269,NIFTY 500,POLICYBZR
270,NIFTY 500,POONAWALLA
271,NIFTY 500,PRESTIGE
272,NIFTY 500,RVNL
273,NIFTY 500,SONACOMS
274,NIFTY 500,TATAELXSI
275,NIFTY 500,TIINDIA
276,NIFTY 500,TORNTPOWER
277,NIFTY 500,UNIONBANK
278,NIFTY 500,YESBANK
279,NIFTY 500,360ONE
280,NIFTY 500,3MINDIA
281,NIFTY 500,AARTIDRUGS
282,NIFTY 500,AAVAS
283,NIFTY 500,ACI
284,NIFTY 500,AEGISCHEM
285,NIFTY 500,AETHER
286,NIFTY 500,AFFLE
287,NIFTY 500,AIAENG
288,NIFTY 500,AJANTPHARM
289,NIFTY 500,ALKYLAMINE
290,NIFTY 500,ALLCARGO
291,NIFTY 500,ALOKINDS
292,NIFTY 500,AMBER
293,NIFTY 500,ANGELONE
294,NIFTY 500,ANURAS
295,NIFTY 500,APARINDS
296,NIFTY 500,APLLTD
297,NIFTY 500,APTUS
298,NIFTY 500,ARE&M
299,NIFTY 500,ASAHIINDIA
300,NIFTY 500,ASTERDM
301,NIFTY 500,AVANTIFEED
302,NIFTY 500,BALAMINES
303,NIFTY 500,BAYERCROP
304,NIFTY 500,BBTC
305,NIFTY 500,BCG
306,NIFTY 500,BEML
307,NIFTY 500,BIKAJI
308,NIFTY 500,BIRLACORPN
309,NIFTY 500,BLS
310,NIFTY 500,BLUEDART
311,NIFTY 500,BLUESTARCO
312,NIFTY 500,BORORENEW
313,NIFTY 500,BRIGADE
314,NIFTY 500,BSE
315,NIFTY 500,CAMPUS
316,NIFTY 500,CAMS
317,NIFTY 500,CARBORUNIV
318,NIFTY 500,CASTROLIND
319,NIFTY 500,CCL
320,NIFTY 500,CDSL
321,NIFTY 500,CEATLTD
322,NIFTY 500,CENTRALBK
323,NIFTY 500,CENTURYPLY
324,NIFTY 500,CENTURYTEX
325,NIFTY 500,CERA
326,NIFTY 500,CESC
327,NIFTY 500,CGCL
328,NIFTY 500,CHALET
329,NIFTY 500,CHEMPLASTS
330,NIFTY 500,CHOLAHLDNG
331,NIFTY 500,CIEINDIA
332,NIFTY 500,CLEAN
333,NIFTY 500,COCHINSHIP
334,NIFTY 500,CONCORDBIO
335,NIFTY 500,CRAFTSMAN
336,NIFTY 500,CREDITACC
337,NIFTY 500,CRISIL
